section,subcat,group_ref,group_name,pos,oem_ref,replaces,qty,part_name,image_file
机械 Mécanique,发动机总成,K9PP001A55A,发动机,01,16 228 050 80,,01,翻新柴油发动机,K9PP001A55A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,01,98 089 632 80,,01,发动机上罩盖,K9PP001B52A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,02,98 089 631 80,,01,发动机防噪音隔板,K9PP001B52A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,03,1436 S7,,02,螺栓销,K9PP001B52A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,04,98 276 707 80,,01,发动机防噪音隔板,K9PP001B52A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,05,98 151 048 80,,01,支架,K9PP001B52A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,07,98 142 889 80,,01,支架,K9PP001B52A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,08,98 142 888 80,,01,支架,K9PP001B52A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,10,16 227 495 80,,02,(MUL) 铆钉,K9PP001B52A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,70,16 115 673 80,,02,(MUL)凸缘螺母,K9PP001B52A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,71,79 03 233 018,,01,螺母,K9PP001B52A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,72,6925 G5,,01,(MUL) 凸缘螺栓,K9PP001B52A.jpg
机械 Mécanique,发动机总成,K9PP001B52A,发动机罩,73,0307 13,,02,(MUL) 凸缘螺栓,K9PP001B52A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,01,16 239 609 80,,01,新带活塞缸体,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,02,98 139 007 80,,10,(MUL) 六边形金属用螺栓,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,03,96 448 622 80,,14,(MUL) 凸缘螺栓,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,04,0165 27,,09,中心销,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,05,0234 07,,02,缸体碗形堵盖,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,06,0243 06,,02,螺纹帽,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,07,96 198 628 80,,02,堵塞密封圈,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,08,0167 82,,02,缸体碗形堵盖,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,09,1803 P2,,01,(MUL) 螺柱,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,11,0341 P7,,02,(MUL) 螺柱,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,12,3211 07,,02,(MUL) 销子,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,13,3211 07,,04,(MUL) 销子,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,14,96 448 622 80,,02,(MUL) 凸缘螺栓,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,15,0165 27,,03,中心销,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,19,0167 78,,01,(MUL)壳体堵塞,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,20,98 156 378 80,,01,导水装置,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,21,98 156 380 80,,01,导水装置,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,70,6968 43,,02,中心销,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,72,6968 A1,,02,(MUL) 销子,K9PP001C55A.jpg
机械 Mécanique,发动机缸体,K9PP001C55A,气缸体 活塞,73,6968 36,,02,(MUL) 销子,K9PP001C55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,01,16 231 588 80,,01,新缸盖,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,02,98 276 227 80,,01,机油蒸汽分离器,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,03,16 381 593 80,,01,油汽分离器密封件,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,04,1180 S5,,01,发动机油加注口盖,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,05,98 244 936 80,,01,气缸垫,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,06,0205 57,,10,缸盖螺栓,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,07,96 448 622 80,,10,(MUL) 凸缘螺栓,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,08,98 249 975 80,RP 98 445 793 80,01/01,单向阀,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,09,0234 42,,02,缸盖碗形堵盖,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,10,0217 07,,03,汽缸盖机油槽阀门止动球,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,11,1011 16,,08,(MUL) 凸缘螺栓,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,12,98 173 808 80,RP 16 844 499 80,04/10,发动机喷油嘴密封圈,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,17,96 448 622 80,,20,(MUL) 凸缘螺栓,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,20,98 126 472 80,,01,凸轮轴轴承箱体总成,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,27,3111 27,,01,(MUL)堵塞,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,71,6968 51,,02,(MUL) 销子,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,72,6968 42,,02,(MUL) 销子,K9PP002A55A.jpg
机械 Mécanique,缸盖,K9PP002A55A,气缸盖-罩,75,6968 51,,02,(MUL) 销子,K9PP002A55A.jpg
机械 Mécanique,正时齿轮,K9PP003C55A,皮带轮护罩 – 堵塞,01,98 087 234 80,RP 98 398 763 80,01/01,正时室护罩,K9PP003C55A.jpg
机械 Mécanique,正时齿轮,K9PP003C55A,皮带轮护罩 – 堵塞,02,98 246 752 80,,01,正时室护罩,K9PP003C55A.jpg
机械 Mécanique,正时齿轮,K9PP003C55A,皮带轮护罩 – 堵塞,03,98 246 751 80,,01,正时室护罩,K9PP003C55A.jpg
机械 Mécanique,正时齿轮,K9PP003C55A,皮带轮护罩 – 堵塞,04,98 158 843 80,,01,正时室护罩,K9PP003C55A.jpg
机械 Mécanique,正时齿轮,K9PP003C55A,皮带轮护罩 – 堵塞,70,96 769 719 80,,02,(MUL) 凸缘螺栓,K9PP003C55A.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,01,98 358 553 80,,01,新涡轮增压器,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,05,0376 60,,01,涡轮机润滑管接头螺栓,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,06,0376 55,,01,涡轮机润滑管接头螺栓,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,07,0376 64,,04,润滑管螺栓密封垫,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,11,0376 63,,02,涡轮增压器支架螺柱,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,12,0380 36,,01,涡轮增压器密封垫,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,13,98 238 856 80,,01,涡轮增压回油管,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,14,98 286 291 80,,01,涡轮增压器润滑管,K9PP003L12L.jpg
