區段,子分類,群組代碼,群組名稱(繁),位置,OEM編號,替換件,數量,名稱(繁中),名稱(English),名稱(Français),圖檔
机械 Mécanique,ABS/ASR/ESP,K9PP445J02A,制動液壓單元MOBIS 5.1 HSM ESP,01,65 031 714 80,,01,制動控制液壓單元,BRAKE CONTROL HYDRAULIC BLOCK,BLOC HYDRAULIQUE DE CDE FREINS,K9PP445J02A.jpg
机械 Mécanique,ABS/ASR/ESP,K9PP445J02A,制動液壓單元MOBIS 5.1 HSM ESP,02,98 572 805 80,,01,制動液壓單元支架,BRAKE CNTRL HYD BLOCK SUPPORT,SUPPORT BLOC HYD DE CDE FREINS,K9PP445J02A.jpg
机械 Mécanique,ABS/ASR/ESP,K9PP445J02A,制動液壓單元MOBIS 5.1 HSM ESP,70,98 021 863 80,,01,帶彈性墊片六角頭螺栓,H RCN SCREW,VIS H RCN,K9PP445J02A.jpg
机械 Mécanique,ABS/ASR/ESP,K9PP445J10A,制動液壓單元ESP BOSCH 9.3 HSM,01,16 540 780 80,,01,制動控制液壓單元,BRAKE CONTROL HYDRAULIC BLOCK,BLOC HYDRAULIQUE DE CDE FREINS,K9PP445J10A.jpg
机械 Mécanique,ABS/ASR/ESP,K9PP445J10A,制動液壓單元ESP BOSCH 9.3 HSM,02,98 189 022 80,,01,制動液壓單元支架,BRAKE CNTRL HYD BLOCK SUPPORT,SUPPORT BLOC HYD DE CDE FREINS,K9PP445J10A.jpg
机械 Mécanique,ABS/ASR/ESP,K9PP445J10A,制動液壓單元ESP BOSCH 9.3 HSM,70,98 021 863 80,,02,帶彈性墊片六角頭螺栓,H RCN SCREW,VIS H RCN,K9PP445J10A.jpg
机械 Mécanique,ABS/ASR/ESP,K9PP445J10A,制動液壓單元ESP BOSCH 9.3 HSM,80,6935 09,,02,(MUL)凸緣螺母,(MUL) FLANGED NUT,(MUL) ECROU A EMBASE,K9PP445J10A.jpg
机械 Mécanique,ABS/ASR/ESP,K9PP445J50A,速度感測器,01,98 107 282 80,,02,ABS車輪速度感測器,WHEEL ABS SENSOR,CAPTEUR ABR DE ROUE,K9PP445J50A.jpg
机械 Mécanique,ABS/ASR/ESP,K9PP445J50A,速度感測器,02,98 109 610 80,,02,ABS車輪速度感測器,WHEEL ABS SENSOR,CAPTEUR ABR DE ROUE,K9PP445J50A.jpg
机械 Mécanique,ABS/ASR/ESP,K9PP445J90A,牽引控制,01,96 784 282 ZD,,01,開關旋鈕,DIAL SWITCH,MOLETTE COMMUTATEUR,K9PP445J90A.jpg
机械 Mécanique,ABS/ASR/ESP,K9PP445M01A,動態穩定性控制,01,96 784 282 ZD,,01,開關旋鈕,DIAL SWITCH,MOLETTE COMMUTATEUR,K9PP445M01A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,01,98 156 363 80,,01,新傳動軸,NEW DRIVESHAFT,TRANSMISSION NE,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,02,98 156 362 80,,01,新傳動軸,NEW DRIVESHAFT,TRANSMISSION NE,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,03,3293 33,,01,傳動軸護罩總成,DRIVESHAFT GAITER KIT,ENSEMBLE PROTECT TRANSMISSION,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,04,16 113 291 80,,01,傳動軸護罩總成,DRIVESHAFT GAITER KIT,ENSEMBLE PROTECT TRANSMISSION,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,05,3247 03,,01,傳動軸軸承,DRIVE-SHAFT BEARING,ROULEMENT PALIER TRANSMISSION,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,06,3248 08,,01,傳動軸軸瓦,DRIVE SHAFT BUSH,BAGUE D’ARBRE DE TRANSMISSION,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,07,98 089 419 80,,01,軸承止推片,THRUST SUPPORT PLATE,PLAQUE APPUI ROULEMENT,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,08,3252 04,,02,軸上的驅動軸固定螺釘,DRIVE-SHAFT FIX SCREW ON AXLE,VIS FIX TRANSMISSION SUR PONT,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,09,96 754 889 80,,01,前傳動軸軸承,FRONT DRIVESHAFT BEARING,PALIER DE TRANSMISSION AV,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,10,98 137 225 80,,02,(MUL) 自鎖螺帽,(MUL) SELF-LOCKING NUT,(MUL) ECROU AUTOFREINE,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,12,98 448 074 80,,01,變速器吸震器,TRANSMISSION SHOCK-ABSORBER,AMORTISSEUR DE TRANSMISSION,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,70,6913 V1,,02,(MUL)矮圓柱頭內六花帶墊圈螺栓,(MUL) CZX RDL SCREW,(MUL) VIS CZX RDL,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,76,6922 G7,,02,(MUL)六角頭帶墊圈螺栓,(MUL) TH SCREW WITH WASHER,(MUL) VIS TH RDL,K9PP332E20A.jpg
机械 Mécanique,傳動,K9PP332E20A,驅動軸,78,6935 84,,02,(MUL) 自鎖螺帽,(MUL) SELF-LOCKING NUT,(MUL) ECROU AUTOFREINE,K9PP332E20A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,01,98 368 348 80,,01,水泵,COOLANT PUMP,POMPE A EAU,K9PP112A56A.jpg
